SKU                       物料名称                            单个SKU拣选时间(秒)
13033496:A01              机油滤清器座组件                               9.350
612600120202:A01          中冷器端盖                                  9.349
13055331:A01              支架                                     9.347
1004483800:A01            V型沟槽卡箍                                 9.346
13036334:A01              冷却液连接胶管                                9.332
13068903:A01              增压器回油管组件                               9.329
1002207387:A01            燃油进油管总成                                9.318
99100360161:A01           接头体                                    9.315
612600083244:A01          喷油泵法兰                                  9.303
13069498:A01              冷却液连接胶管                                9.292
610800040063:A01          油路连接胶管                                 9.285
1000257192:A01            发电机支架                                  9.274
1008956273:A01            增压器润滑油管总成                              9.274
1011149705:A01            铭牌                                     9.272
13057250:A01              停车电磁阀支架                                9.268
1003496486:A01            管夹总成                                   9.266
1012047969:A01            支架                                     9.251
1005384070:A01            油气分离器回油管                               9.247
13057175:A01              预供油泵润滑油管                               9.230
1000931832:A01            冷却液连接胶管                                9.230
13036103:A01              发电机支架                                  9.228
610800040289:A01          油气分离器回油管                               9.228
1003289874:A01            增压器润滑油管总成                              9.212
1011302754:A01            排气接管                                   9.211
1002153817:A01            燃油进油管总成                                9.210
13058050:A01              增压器润滑油管总成                              9.206
612600012457:A01          支撑块                                    9.200
1004231097Z:A01           转速控制器                                  9.179
1000409041:A01            空心螺栓                                   9.171
13033648:A01              气路连接胶管                                 9.165
13057177:A01              高压油管总成                                 9.155
1005203265:A01            支撑块                                    9.153
1000726307:A01            喷油泵法兰                                  9.136
612630030089:A01          空压机盖板                                  9.128
612600116804:A01          进气接管                                   9.123
1000417730:A01            支架                                     9.117
1018927640:A06            发动机吊板                                  9.115
1001930042:A01            喷油泵法兰                                  9.107
13031533:A01              垫片                                     9.106
1003414591:A01            信号盘                                    9.100
13057144:A01              燃油回油管总成                                9.087
612600090351:A01          压力传感器                                  9.082
1011306695:A01            水管接头                                   9.054
1002879631:A01            ECU支架                                  9.053
1004572219:A01            线束支架                                   9.049
612630020006:A01          曲轴正时齿轮                                 9.034
1005160855:A01            发动机吊板                                  9.033
1000955555:A01            油气分离器回油管                               9.027
1001880654:A01            燃油进油管总成                                9.026
1005013120:A01            加机油管总成                                 9.010
1002406434:A01            燃油进油管总成                                9.009
1005602807:A01            V型沟槽卡箍                                 9.004
1006251341:A01            油门软轴支架                                 8.995
13059311:A01              燃油进油管总成                                8.995
12187737:A01              燃油进油管总成                                8.989
13031911:A01              增压器润滑油管                                8.989
13038419:A01              增压器润滑油管                                8.987
1012202737:A01            燃油进油管总成                                8.974
612630061121:A01          支架                                     8.970
1016273912:A01            燃油进油管总成                                8.960
1001314376:A01            喷油泵法兰                                  8.951
1003064889:A01            垫块                                     8.950
1007843820:A01            进气接管                                   8.944
1005551085:A01            燃油进油管总成                                8.935
13031929:A01              燃油滤清器支架                                8.935
13057667:A01              排气接管                                   8.935
612600014414:A01          油门软轴支架                                 8.927
13039903:A01              增压器润滑油管                                8.924
612600090680:A01          发电机支架                                  8.911
13024456:A01              增压器进油管组件                               8.908
1007625385:A01            ECU支架                                  8.889
13062125:A01              进气接管                                   8.887
1010100981:A01            支架                                     8.884
1002336481:A01            冷却液连接胶管                                8.882
61560060069:A01           张紧轮总成                                  8.881
1004063187:A01            燃油回油管总成                                8.881
13056371:A01              燃油进油管                                  8.877
1003289594:A01            燃油回油管总成                                8.877
1001628498:A01            油气分离器                                  8.875
1001871547:A01            喷油泵法兰                                  8.866
13057176:A01              燃油回油管总成                                8.865
1003566334:A01            气路连接胶管                                 8.858
612600070255:A01          机油滤清器支架                                8.854
1001255339:A01            加热器                                    8.853
1000130970:A01            飞轮支架                                   8.836
1001794602:A01            空压机水管总成                                8.832
1005550630:A01            燃油进油管总成                                8.826
13021929:A01              增压器润滑油管                                8.820
13021766:A01              气路连接胶管                                 8.786
1002001856:A01            支撑块                                    8.784
13073557:A01              张紧轮支架                                  8.784
1004519540:A01            燃油回油管总成                                8.780
1000336444:A01            空压机水管总成                                8.765
